"","valence","arousal"
"F0semitoneFrom27.5Hz_sma3nz_amean",-0.06,-0.1
"F0semitoneFrom27.5Hz_sma3nz_stddevNorm",0,0.02
"F0semitoneFrom27.5Hz_sma3nz_percentile20.0",-0.04,-0.09
"F0semitoneFrom27.5Hz_sma3nz_percentile50.0",-0.07,-0.09
"F0semitoneFrom27.5Hz_sma3nz_percentile80.0",-0.07,-0.07
"F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2",-0.03,0.03
"F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope",-0.01,-0.04
"F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope",0.01,-0.03
"F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope",-0.01,-0.01
"F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope",0,-0.01
"loudness_sma3_amean",0.03,0.09
"loudness_sma3_stddevNorm",-0.01,-0.1
"loudness_sma3_percentile20.0",0.03,0.12
"loudness_sma3_percentile50.0",0.03,0.11
"loudness_sma3_percentile80.0",0.02,0.08
"loudness_sma3_pctlrange0-2",0.02,0.04
"loudness_sma3_meanRisingSlope",0.04,0.05
"loudness_sma3_stddevRisingSlope",0.04,0.04
"loudness_sma3_meanFallingSlope",0.03,0.06
"loudness_sma3_stddevFallingSlope",0.03,0.05
"spectralFlux_sma3_amean",0.03,0.1
"spectralFlux_sma3_stddevNorm",0.01,-0.08
"mfcc1_sma3_amean",0.04,0.06
"mfcc1_sma3_stddevNorm",-0.01,0
"mfcc2_sma3_amean",-0.03,0.01
"mfcc2_sma3_stddevNorm",0.01,0.01
"mfcc3_sma3_amean",0.06,0.07
"mfcc3_sma3_stddevNorm",0,-0.01
"mfcc4_sma3_amean",0.02,0.04
"mfcc4_sma3_stddevNorm",-0.01,0
"jitterLocal_sma3nz_amean",0.02,0.06
"jitterLocal_sma3nz_stddevNorm",-0.02,-0.01
"shimmerLocaldB_sma3nz_amean",0.04,0.02
"shimmerLocaldB_sma3nz_stddevNorm",-0.02,-0.05
"HNRdBACF_sma3nz_amean",-0.05,-0.08
"HNRdBACF_sma3nz_stddevNorm",0.01,0
"logRelF0-H1-H2_sma3nz_amean",-0.03,-0.01
"logRelF0-H1-H2_sma3nz_stddevNorm",0.01,0.01
"logRelF0-H1-A3_sma3nz_amean",-0.02,-0.01
"logRelF0-H1-A3_sma3nz_stddevNorm",-0.03,0
"F1frequency_sma3nz_amean",0.01,-0.05
"F1frequency_sma3nz_stddevNorm",0.01,0.05
"F1bandwidth_sma3nz_amean",-0.02,0
"F1bandwidth_sma3nz_stddevNorm",0.01,-0.04
"F1amplitudeLogRelF0_sma3nz_amean",0.05,0.09
"F1amplitudeLogRelF0_sma3nz_stddevNorm",-0.01,-0.04
"F2frequency_sma3nz_amean",0,-0.04
"F2frequency_sma3nz_stddevNorm",0,0.01
"F2bandwidth_sma3nz_amean",-0.03,0.01
"F2bandwidth_sma3nz_stddevNorm",-0.01,-0.05
"F2amplitudeLogRelF0_sma3nz_amean",0.04,0.08
"F2amplitudeLogRelF0_sma3nz_stddevNorm",-0.04,-0.07
"F3frequency_sma3nz_amean",-0.02,-0.05
"F3frequency_sma3nz_stddevNorm",0.01,0.04
"F3bandwidth_sma3nz_amean",-0.02,0
"F3bandwidth_sma3nz_stddevNorm",-0.06,-0.05
"F3amplitudeLogRelF0_sma3nz_amean",0.05,0.09
"F3amplitudeLogRelF0_sma3nz_stddevNorm",-0.05,-0.07
"alphaRatioV_sma3nz_amean",0.02,-0.02
"alphaRatioV_sma3nz_stddevNorm",0.01,0
"hammarbergIndexV_sma3nz_amean",-0.04,-0.02
"hammarbergIndexV_sma3nz_stddevNorm",0,-0.05
"slopeV0-500_sma3nz_amean",-0.05,-0.1
"slopeV0-500_sma3nz_stddevNorm",0.01,0
"slopeV500-1500_sma3nz_amean",-0.02,0.01
"slopeV500-1500_sma3nz_stddevNorm",0.01,-0.02
"spectralFluxV_sma3nz_amean",0.02,0.07
"spectralFluxV_sma3nz_stddevNorm",0.03,-0.04
"mfcc1V_sma3nz_amean",0.03,0.01
"mfcc1V_sma3nz_stddevNorm",-0.01,-0.01
"mfcc2V_sma3nz_amean",-0.03,0
"mfcc2V_sma3nz_stddevNorm",-0.01,0.01
"mfcc3V_sma3nz_amean",0.07,0.09
"mfcc3V_sma3nz_stddevNorm",0,-0.02
"mfcc4V_sma3nz_amean",0.03,0.04
"mfcc4V_sma3nz_stddevNorm",0,0.01
"alphaRatioUV_sma3nz_amean",0.01,-0.05
"hammarbergIndexUV_sma3nz_amean",-0.02,0.03
"slopeUV0-500_sma3nz_amean",-0.01,-0.04
"slopeUV500-1500_sma3nz_amean",-0.04,-0.03
"spectralFluxUV_sma3nz_amean",0.02,0.11
"loudnessPeaksPerSec",0.04,0.07
"VoicedSegmentsPerSec",0.01,0.04
"MeanVoicedSegmentLengthSec",-0.01,0.03
"StddevVoicedSegmentLengthSec",0.01,0.04
"MeanUnvoicedSegmentLength",0,-0.03
"StddevUnvoicedSegmentLength",-0.02,-0.05
"equivalentSoundLevel_dBp",0.03,0.06
