"";"Variable";"Stand_Beta"
"1";"F3amplitudeLogRelF0_sma3nz_stddevNorm";-0,0370364750033631
"2";"loudness_sma3_percentile80.0";0,0349737370848482
"3";"spectralFluxV_sma3nz_amean";0,0308441162402341
"4";"loudness_sma3_amean";0,013562964021535
"5";"equivalentSoundLevel_dBp";0,00558720150628386
"6";"loudness_sma3_meanFallingSlope";0,00269347139670804
"7";"F3amplitudeLogRelF0_sma3nz_amean";0,00100315442432484
"8";"F0semitoneFrom27.5Hz_sma3nz_percentile80.0";0,000683690543992328
"9";"F0semitoneFrom27.5Hz_sma3nz_amean";0,000641553945921797
"10";"loudness_sma3_percentile50.0";0,000174092333715758
"11";"F1bandwidth_sma3nz_amean";-0,000149805013409968
"12";"F2amplitudeLogRelF0_sma3nz_amean";7,63646781504332e-05
